Report_ID,Date,Time,Source,Indicator_Type,Topic_Area,Severity,Indicator,Details,Status,Analyst,Priority
INTEL-2028-089,3/18/2028,0845,Confidential Human Source,Behavioral,Terrorism,Medium,Homegrown Violent Extremist Activity,Subject expressing support for ISIS ideology on encrypted messaging platforms - meeting with known HVE associates,Active,Thompson,2
INTEL-2028-090,3/19/2028,1030,Financial Records,Transaction,Organized Crime,Low,Suspicious Wire Transfers,Multiple wire transfers totaling $150K to known money laundering front companies - structuring pattern detected,Monitoring,Chen,3
INTEL-2028-091,3/19/2028,1415,Social Media,Communication,Terrorism,High,Terrorist Propaganda Sharing,Subject distributing ISIS propaganda videos and recruiting materials targeting U.S.-based individuals,Active,Rodriguez,1
INTEL-2028-092,3/20/2028,0920,Law Enforcement Partner,Criminal Activity,Public Corruption,Medium,Bribery Allegations,Local police reporting suspected bribery scheme involving city official and construction contracts,Investigating,Thompson,2
INTEL-2028-093,3/21/2028,1145,Physical Surveillance,Operational,Organized Crime,High,Drug Trafficking Meeting,Observed meeting between cartel associates at known stash house location - multiple vehicles and subjects identified,Active,Rodriguez,1
INTEL-2028-094,3/22/2028,1600,Cooperating Witness,Insider Information,White Collar Crime,Medium,Securities Fraud Scheme,Witness reporting insider trading ring operating within investment firm - multiple subjects implicated,Monitoring,Chen,2
INTEL-2028-095,3/23/2028,0730,Cyber Forensics,Digital Evidence,Cybercrime,Low,Ransomware Attribution,Digital forensic analysis linking recent healthcare ransomware attack to known Eastern European cybercrime group,Closed,Thompson,3
INTEL-2028-096,3/24/2028,1320,JTTF Partner,Threat Information,Terrorism,Medium,Foreign Travel Indicators,Subject purchased one-way ticket to Turkey - possible travel to conflict zone based on communications analysis,Active,Rodriguez,2
INTEL-2028-097,3/24/2028,1545,Technical Surveillance,Electronic,Espionage,High,Foreign Intelligence Activity,Suspected foreign intelligence officer conducting surveillance of defense contractor facility - vehicle and subject identified,Active,Chen,1
INTEL-2028-098,3/25/2028,0915,Financial Institution,Suspicious Activity Report,Money Laundering,Low,Structuring Transactions,Bank reporting pattern of cash deposits just under $10K threshold across multiple accounts - possible money laundering,Monitoring,Thompson,3
INTEL-2028-099,3/26/2028,1205,Victim Report,Incident,Cybercrime,High,Business Email Compromise,Fortune 500 company reporting $2.3M wire fraud loss - CEO impersonation using deepfake voice technology,Active,Rodriguez,1
INTEL-2028-100,3/27/2028,1430,Database Check,Criminal History,Violent Crime,Medium,Firearms Trafficking Indicators,Multiple firearms purchases by subjects with gang affiliations - potential interstate trafficking operation,Investigating,Chen,2
